OID,Fname,Gname,locale,Role,Org,domain_affinity
0000-0001-5000-5000,Gordon,Joel,en,PhD,Cranfield University,"{'Environmental Science': 0.575658, 'Energy': 0.345394, 'Materials Science': 0.078948}"
0000-0001-5009-9000,,,,,,"{'Biochemistry, Genetics and Molecular Biology': 0.736667, 'Agricultural and Biological Sciences': 0.05, 'Immunology and Microbiology': 0.083333, 'Chemistry': 0.06, 'Pharmacology, Toxicology and Pharmaceutics': 0.07}"
0000-0001-5010-1000,,,,,,"{'Chemical Engineering': 0.222222, 'Engineering': 0.222222, 'Computer Science': 0.555556}"
0000-0001-5020-8000,Gambhir,Sapna,en,Ph.D,Jamia Millia Islamia,"{'Engineering': 0.878378, 'Computer Science': 0.061344, 'Medicine': 0.004267, 'Arts and Humanities': 0.02027, 'Decision Sciences': 0.01707, 'Mathematics': 0.01867}"
0000-0001-5021-6000,,,,,,"{'Agricultural and Biological Sciences': 0.6, 'Biochemistry, Genetics and Molecular Biology': 0.3, 'Medicine': 0.1}"
0000-0001-5023-2000,,,,,,{'Medicine': 1.0}
0000-0001-5034-7000,Shibata,Masayuki,en,cheif,Ageo Central General Hospital,{'Medicine': 1.0}
0000-0001-5041-9000,,,,,,{'Earth and Planetary Sciences': 1.0}
0000-0001-5049-4000,Dickerson,Joshua,en,PhD in Biological Sciences,University of Cambridge,"{'Biochemistry, Genetics and Molecular Biology': 0.753026, 'Materials Science': 0.131316, 'Physics and Astronomy': 0.063158, 'Chemistry': 0.0525}"
0000-0001-5052-3000,NIRANJANA,Tejaswini,en,PhD,UCLA Division of Humanities,"{'Arts and Humanities': 0.770965, 'Social Sciences': 0.097126, 'Economics, Econometrics and Finance': 0.131664, 'Psychology': 0.000244}"
0000-0001-5074-2000,Perez-Santos,Martin,en,PhD,Centro de Investigacion y de Estudios Avanzados del Instituto Politecnico Nacional,"{'Medicine': 0.266325, 'Social Sciences': 0.157912, 'Biochemistry, Genetics and Molecular Biology': 0.353, 'Pharmacology, Toxicology and Pharmaceutics': 0.216309, 'Neuroscience': 0.00048, 'Immunology and Microbiology': 0.005974}"
0000-0001-5081-4000,Frank,Suzanne,en,Advanced Specialist Breast cancer Pharmacist,The Christie Hospital,"{'Pharmacology, Toxicology and Pharmaceutics': 0.625, 'Medicine': 0.375}"
0000-0001-5084-9000,,,,,,"{'Biochemistry, Genetics and Molecular Biology': 0.620833, 'Medicine': 0.041667, 'Computer Science': 0.1375, 'Agricultural and Biological Sciences': 0.075, 'Social Sciences': 0.125}"
0000-0001-5095-3000,,,,,,{'Computer Science': 1.0}
0000-0001-5099-6000,,,,,,"{'Materials Science': 0.666667, 'Physics and Astronomy': 0.333333}"
0000-0001-5103-2000,,,,,,"{'Materials Science': 0.676667, 'Physics and Astronomy': 0.166666, 'Engineering': 0.066667, 'Chemistry': 0.06, 'Energy': 0.03}"
0000-0001-5105-9000,Van Camp,Guy,en,Professor,University of Antwerp,"{'Medicine': 0.733067, 'Biochemistry, Genetics and Molecular Biology': 0.252267, 'Pharmacology, Toxicology and Pharmaceutics': 0.000124, 'Neuroscience': 0.007818, 'Chemical Engineering': 1.4e-05, 'Chemistry': 0.000709, 'Health Professions': 0.003772, 'Multidisciplinary': 3.4e-05, 'Immunology and Microbiology': 0.001327, 'Computer Science': 1.4e-05, 'Mathematics': 5e-06, 'Environmental Science': 3.2e-05, 'Engineering': 5e-06, 'Arts and Humanities': 0.000225, 'Social Sciences': 5.2e-05, 'Physics and Astronomy': 1.8e-05, 'Agricultural and Biological Sciences': 0.000517}"
0000-0001-5106-7000,,,,,,{}
0000-0001-5107-5000,Martinez-Martinez,Sergio,en,Statistician,Universidad Nacional de Colombia,{'Mathematics': 1.0}
0000-0001-5109-1000,Porteus,Andrew,en,Master's Candidate,Brock University,"{'Computer Science': 0.5, 'Psychology': 0.5}"
0000-0001-5116-3000,Royo-Torres,Rafael,es,Doctor,Universidad de Zaragoza,"{'Earth and Planetary Sciences': 0.630913, 'Agricultural and Biological Sciences': 0.139211, 'Social Sciences': 0.211423, 'Environmental Science': 0.009165, 'Biochemistry, Genetics and Molecular Biology': 0.000982, 'Medicine': 0.000327, 'Multidisciplinary': 0.007979}"
0000-0001-5124-3000,,,,,,"{'Biochemistry, Genetics and Molecular Biology': 0.316667, 'Immunology and Microbiology': 0.075, 'Medicine': 0.025, 'Agricultural and Biological Sciences': 0.583334}"
0000-0001-5136-6000,Thust,Steffi,en,Consultant Neuroradiologist,University College London Hospitals NHS Foundation Trust National Hospital for Neurology and Neurosurgery,{'Medicine': 1.0}
0000-0001-5141-1000,,,,,,{'Medicine': 1.0}
0000-0001-5143-8000,Jana,Sanjay Kumar,en,PhD,Indian Institute of Technology Kharagpur,"{'Computer Science': 0.225, 'Engineering': 0.614693, 'Materials Science': 0.160307}"
0000-0001-5145-4000,Heiland,Ally,en,Clinical Psychology,The Ohio State University,"{'Psychology': 0.842105, 'Arts and Humanities': 0.157894}"
0000-0001-5147-0000,,,,,,"{'Biochemistry, Genetics and Molecular Biology': 0.11971, 'Chemical Engineering': 0.072174, 'Chemistry': 0.573623, 'Pharmacology, Toxicology and Pharmaceutics': 0.035725, 'Materials Science': 0.013043, 'Multidisciplinary': 0.002391, 'Physics and Astronomy': 0.106522, 'Energy': 0.002609, 'Computer Science': 0.047899, 'Mathematics': 0.026304}"
0000-0001-5152-6000,,,,,,{}
0000-0001-5154-2000,Chui,Hsiang-Chen,zh_TW,Ph.D,National Tsing Hua University,"{'Engineering': 0.856538, 'Physics and Astronomy': 0.056496, 'Chemistry': 0.007936, 'Materials Science': 0.038833, 'Medicine': 0.026454, 'Computer Science': 0.001571, 'Chemical Engineering': 0.010209, 'Biochemistry, Genetics and Molecular Biology': 0.001963}"
0000-0001-5162-2000,Arıkan,Muzaffer,en,PhD,Istanbul Üniversitesi,"{'Biochemistry, Genetics and Molecular Biology': 0.867632, 'Immunology and Microbiology': 0.017857, 'Medicine': 0.038083, 'Environmental Science': 0.004286, 'Agricultural and Biological Sciences': 0.06, 'Computer Science': 0.001429, 'Multidisciplinary': 0.010714}"
0000-0001-5164-9000,Purwaningsih,Siti Samsiyah,en,Dosen / Pengajar,Politeknik Negeri Bandung,"{'Business, Management and Accounting': 1.0}"
0000-0001-5167-3000,,,,,,"{'Multidisciplinary': 0.2, 'Earth and Planetary Sciences': 0.733333, 'Environmental Science': 0.066667}"
